time,tempce,luftfeucht,co2,laut,hell
2021-12-30/17:44:36,23.08,80.0,1007.0,24.0,250.0
2021-12-30/17:44:37,23.08,80.0,1007.0,24.0,250.0
2021-12-30/17:44:38,23.08,80.0,1007.0,24.0,250.0
2021-12-30/17:44:39,23.08,80.0,1007.0,24.0,250.0
2021-12-30/17:44:40,23.08,80.0,1007.0,24.0,250.0
2021-12-30/17:44:41,23.08,80.0,1007.0,24.0,250.0
2021-12-30/17:44:42,23.08,80.0,1007.0,24.0,250.0
2021-12-30/17:44:43,23.06,80.0,1008.0,22.6,213.1666
2021-12-30/17:44:44,23.06,80.0,1008.0,22.6,213.1666
2021-12-30/17:44:45,23.06,80.0,1008.0,22.6,213.1666
2021-12-30/17:44:46,23.06,80.0,1008.0,22.6,213.1666
2021-12-30/17:44:47,23.06,80.0,1008.0,22.6,213.1666
2021-12-30/17:44:48,23.06,80.0,1008.0,22.6,213.1666
2021-12-30/17:44:49,23.06,80.0,1008.0,22.6,213.1666
2021-12-30/17:44:50,23.06,80.0,1008.0,22.6,213.1666
2021-12-30/17:44:51,23.06,80.0,1008.0,22.6,213.1666
2021-12-30/17:44:52,23.06,80.0,1008.0,22.6,213.1666
2021-12-30/17:44:53,23.06,80.0,1008.0,22.6,213.1666
2021-12-30/17:44:54,23.06,80.0,1008.0,22.6,213.1666
2021-12-30/17:44:55,23.06,80.0,1008.0,22.6,213.1666
2021-12-30/17:44:56,23.06,80.0,1008.0,22.6,213.1666
2021-12-30/17:44:57,23.06,80.0,1008.0,22.6,213.1666
2021-12-30/17:44:58,23.07,80.0,1011.0,26.6,213.1666
2021-12-30/17:44:59,23.07,80.0,1011.0,26.6,213.1666
2021-12-30/17:45:00,23.07,80.0,1011.0,26.6,213.1666
2021-12-30/17:45:01,23.07,80.0,1011.0,26.6,213.1666
2021-12-30/17:45:02,23.07,80.0,1011.0,26.6,213.1666
2021-12-30/17:45:03,23.07,80.0,1011.0,26.6,213.1666
2021-12-30/17:45:04,23.07,80.0,1011.0,26.6,213.1666
2021-12-30/17:45:05,23.07,80.0,1011.0,26.6,213.1666
2021-12-30/17:45:06,23.07,80.0,1011.0,26.6,213.1666
2021-12-30/17:45:07,23.07,80.0,1011.0,26.6,213.1666
2021-12-30/17:45:08,23.07,80.0,1011.0,26.6,213.1666
2021-12-30/17:45:09,23.07,80.0,1011.0,26.6,213.1666
2021-12-30/17:45:10,23.07,80.0,1011.0,26.6,213.1666
2021-12-30/17:45:11,23.07,80.0,1011.0,26.6,213.1666
2021-12-30/17:45:12,23.07,80.0,1011.0,26.6,213.1666
2021-12-30/17:45:13,23.06,80.0,1016.0,29.26667,213.3333
2021-12-30/17:45:14,23.06,80.0,1016.0,29.26667,213.3333
2021-12-30/17:45:16,23.06,80.0,1016.0,29.26667,213.3333
2021-12-30/17:45:17,23.06,80.0,1016.0,29.26667,213.3333
2021-12-30/17:45:18,23.06,80.0,1016.0,29.26667,213.3333
2021-12-30/17:45:19,23.06,80.0,1016.0,29.26667,213.3333
2021-12-30/17:45:20,23.06,80.0,1016.0,29.26667,213.3333
2021-12-30/17:45:21,23.06,80.0,1016.0,29.26667,213.3333
2021-12-30/17:45:22,23.06,80.0,1016.0,29.26667,213.3333
2021-12-30/17:45:23,23.06,80.0,1016.0,29.26667,213.3333
2021-12-30/17:45:24,23.06,80.0,1016.0,29.26667,213.3333
2021-12-30/17:45:25,23.06,80.0,1016.0,29.26667,213.3333
2021-12-30/17:45:26,23.06,80.0,1016.0,29.26667,213.3333
2021-12-30/17:45:27,23.06,80.0,1016.0,29.26667,213.3333
2021-12-30/17:45:28,23.06,80.0,1016.0,29.26667,213.3333
2021-12-30/17:45:29,23.07,80.0,1020.0,32.26667,213.3333
2021-12-30/17:45:30,23.07,80.0,1020.0,32.26667,213.3333
2021-12-30/17:45:31,23.07,80.0,1020.0,32.26667,213.3333
2021-12-30/17:45:32,23.07,80.0,1020.0,32.26667,213.3333
2021-12-30/17:45:33,23.07,80.0,1020.0,32.26667,213.3333
2021-12-30/17:45:34,23.07,80.0,1020.0,32.26667,213.3333
2021-12-30/17:45:35,23.07,80.0,1020.0,32.26667,213.3333
2021-12-30/17:45:36,23.07,80.0,1020.0,32.26667,213.3333
2021-12-30/17:45:37,23.07,80.0,1020.0,32.26667,213.3333
2021-12-30/17:45:38,23.07,80.0,1020.0,32.26667,213.3333
2021-12-30/17:45:39,23.07,80.0,1020.0,32.26667,213.3333
2021-12-30/17:45:40,23.07,80.0,1020.0,32.26667,213.3333
2021-12-30/17:45:41,23.07,80.0,1020.0,32.26667,213.3333
2021-12-30/17:45:42,23.07,80.0,1020.0,32.26667,213.3333
2021-12-30/17:45:43,23.07,80.0,1020.0,32.26667,213.3333
2021-12-30/17:45:44,23.07,80.0,1023.0,21.46667,213.3333
2021-12-30/17:45:45,23.07,80.0,1023.0,21.46667,213.3333
