time,tempce,luftfeucht,co2,laut,hell
2022-01-06/17:44:31,23.18,997.3,1234.0,23.784,213.7
2022-01-06/17:44:32,23.18,997.3,1234.0,23.784,215.1
2022-01-06/17:44:33,23.18,997.3,1234.0,23.784,215.1
2022-01-06/17:44:34,23.21,997.3,1238.0,23.856,215.1
2022-01-06/17:44:36,23.21,997.3,1238.0,23.856,215.1
2022-01-06/17:44:37,23.21,997.3,1238.0,23.856,214.9
2022-01-06/17:44:38,23.21,997.3,1238.0,23.856,215.1
2022-01-06/17:44:39,23.21,997.3,1238.0,23.856,215.0
2022-01-06/17:44:40,23.21,997.3,1238.0,24.0,215.1
2022-01-06/17:44:41,23.21,997.3,1238.0,24.0,215.1
