time,tempce,luftdruck,co2,laut,hell
2022-02-23/14:22:36,20.4,1002.0,1060.0,65.0,202.6
2022-02-23/14:22:37,20.4,1002.0,1060.0,66.0,202.5
2022-02-23/14:22:38,20.4,1002.0,1060.0,66.0,202.5
2022-02-23/14:22:39,20.4,1002.0,1060.0,66.0,202.5
2022-02-23/14:22:40,20.4,1002.0,1060.0,66.0,202.2
2022-02-23/14:22:41,20.4,1002.0,1060.0,65.0,201.8
2022-02-23/14:22:42,20.4,1002.0,1060.0,65.0,199.3
2022-02-23/14:22:43,20.4,1002.0,1060.0,66.0,196.5
2022-02-23/14:22:45,20.4,1002.0,1060.0,66.0,193.5
2022-02-23/14:22:46,20.4,1002.0,1060.0,65.0,191.8
2022-02-23/14:22:47,20.4,1002.0,1060.0,65.0,191.0
2022-02-23/14:22:48,20.4,1002.0,1151.0,57.0,190.1
2022-02-23/14:22:49,20.4,1002.0,1151.0,57.0,189.5
2022-02-23/14:22:50,20.4,1002.0,1151.0,65.0,191.4
2022-02-23/14:22:51,20.4,1002.0,1151.0,65.0,191.6
2022-02-23/14:22:52,20.4,1002.0,1151.0,66.0,191.7
2022-02-23/14:22:53,20.4,1002.0,1151.0,66.0,191.7
2022-02-23/14:22:54,20.4,1002.0,1151.0,64.0,191.7
2022-02-23/14:22:56,20.4,1002.0,1151.0,64.0,190.8
2022-02-23/14:22:57,20.4,1002.0,1151.0,66.0,191.2
2022-02-23/14:22:58,20.4,1002.0,1151.0,66.0,191.7
2022-02-23/14:22:59,20.4,1002.0,1151.0,65.0,191.7
2022-02-23/14:23:00,20.4,1002.0,1151.0,65.0,191.7
2022-02-23/14:23:01,20.4,1002.0,1151.0,64.0,191.9
2022-02-23/14:23:02,20.4,1002.0,1151.0,64.0,192.5
2022-02-23/14:23:03,20.4,1002.0,1214.0,61.0,193.0
2022-02-23/14:23:04,20.4,1002.0,1214.0,61.0,193.3
2022-02-23/14:23:05,20.4,1002.0,1214.0,65.0,193.6
2022-02-23/14:23:06,20.4,1002.0,1214.0,65.0,194.2
2022-02-23/14:23:08,20.4,1002.0,1214.0,63.0,195.1
2022-02-23/14:23:09,20.4,1002.0,1214.0,63.0,195.8
2022-02-23/14:23:10,20.4,1002.0,1214.0,60.0,195.0
2022-02-23/14:23:11,20.4,1002.0,1214.0,60.0,194.1
2022-02-23/14:23:12,20.4,1002.0,1214.0,65.0,193.5
2022-02-23/14:23:13,20.4,1002.0,1214.0,65.0,194.2
2022-02-23/14:23:14,20.4,1002.0,1214.0,66.0,194.0
2022-02-23/14:23:15,20.4,1002.0,1214.0,66.0,194.6
2022-02-23/14:23:16,20.5,1002.0,1266.0,64.0,195.4
2022-02-23/14:23:17,20.5,1002.0,1266.0,64.0,195.8
2022-02-23/14:23:19,20.5,1002.0,1266.0,57.0,195.8
2022-02-23/14:23:20,20.5,1002.0,1266.0,57.0,194.6
2022-02-23/14:23:21,20.5,1002.0,1266.0,66.0,196.7
2022-02-23/14:23:22,20.5,1002.0,1266.0,66.0,196.7
2022-02-23/14:23:23,20.5,1002.0,1266.0,66.0,196.7
2022-02-23/14:23:24,20.5,1002.0,1266.0,66.0,196.7
2022-02-23/14:23:25,20.5,1002.0,1266.0,66.0,197.0
2022-02-23/14:23:26,20.5,1002.0,1266.0,66.0,196.7
2022-02-23/14:23:27,20.5,1002.0,1266.0,65.0,196.7
2022-02-23/14:23:28,20.5,1002.0,1266.0,65.0,196.7
2022-02-23/14:23:29,20.5,1002.0,1266.0,65.0,196.7
2022-02-23/14:23:31,20.5,1002.0,1266.0,65.0,196.7
2022-02-23/14:23:32,20.6,1002.0,1273.0,56.0,196.4
2022-02-23/14:23:33,20.6,1002.0,1273.0,56.0,195.8
2022-02-23/14:23:34,20.6,1002.0,1273.0,64.0,195.8
2022-02-23/14:23:35,20.6,1002.0,1273.0,64.0,195.1
2022-02-23/14:23:36,20.6,1002.0,1273.0,66.0,194.8
2022-02-23/14:23:37,20.6,1002.0,1273.0,66.0,191.5
2022-02-23/14:23:38,20.6,1002.0,1273.0,66.0,189.0
2022-02-23/14:23:39,20.6,1002.0,1273.0,66.0,193.2
2022-02-23/14:23:40,20.6,1002.0,1273.0,66.0,193.2
2022-02-23/14:23:41,20.6,1002.0,1273.0,66.0,192.5
2022-02-23/14:23:43,20.6,1002.0,1273.0,65.0,191.6
2022-02-23/14:23:44,20.6,1002.0,1273.0,65.0,190.5
2022-02-23/14:23:45,20.6,1002.0,1273.0,66.0,189.9
2022-02-23/14:23:46,20.6,1002.0,1273.0,66.0,189.2
2022-02-23/14:23:47,20.6,1002.0,1244.0,60.0,188.4
2022-02-23/14:23:48,20.6,1002.0,1244.0,60.0,187.8
2022-02-23/14:23:49,20.6,1002.0,1244.0,66.0,186.6
2022-02-23/14:23:50,20.6,1002.0,1244.0,66.0,185.4
2022-02-23/14:23:51,20.6,1002.0,1244.0,66.0,184.5
2022-02-23/14:23:52,20.6,1002.0,1244.0,66.0,183.0
2022-02-23/14:23:54,20.6,1002.0,1244.0,66.0,182.1
2022-02-23/14:23:55,20.6,1002.0,1244.0,66.0,181.4
2022-02-23/14:23:56,20.6,1002.0,1244.0,66.0,180.6
2022-02-23/14:23:57,20.6,1002.0,1244.0,66.0,179.8
2022-02-23/14:23:58,20.6,1002.0,1244.0,66.0,179.4
2022-02-23/14:23:59,20.6,1002.0,1244.0,66.0,178.0
2022-02-23/14:24:00,20.6,1002.0,1244.0,66.0,176.6
2022-02-23/14:24:01,20.6,1002.0,1244.0,66.0,177.4
2022-02-23/14:24:02,20.6,1002.0,1210.0,57.0,176.7
2022-02-23/14:24:03,20.6,1002.0,1210.0,57.0,176.5
2022-02-23/14:24:05,20.6,1002.0,1210.0,66.0,175.8
2022-02-23/14:24:06,20.6,1002.0,1210.0,66.0,175.8
2022-02-23/14:24:07,20.6,1002.0,1210.0,66.0,175.0
2022-02-23/14:24:08,20.6,1002.0,1210.0,66.0,175.0
2022-02-23/14:24:09,20.6,1002.0,1210.0,66.0,175.0
2022-02-23/14:24:10,20.6,1002.0,1210.0,66.0,175.0
2022-02-23/14:24:11,20.6,1002.0,1210.0,66.0,174.9
2022-02-23/14:24:12,20.6,1002.0,1210.0,66.0,174.8
2022-02-23/14:24:13,20.6,1002.0,1210.0,65.0,174.6
2022-02-23/14:24:14,20.6,1002.0,1210.0,65.0,174.4
2022-02-23/14:24:15,20.6,1002.0,1210.0,66.0,174.7
2022-02-23/14:24:17,20.6,1002.0,1210.0,66.0,174.5
2022-02-23/14:24:18,20.7,1002.0,1158.0,56.0,174.8
2022-02-23/14:24:19,20.7,1002.0,1158.0,56.0,175.3
2022-02-23/14:24:20,20.7,1002.0,1158.0,66.0,176.2
2022-02-23/14:24:21,20.7,1002.0,1158.0,66.0,177.3
2022-02-23/14:24:22,20.7,1002.0,1158.0,66.0,177.5
2022-02-23/14:24:23,20.7,1002.0,1158.0,66.0,176.9
2022-02-23/14:24:24,20.7,1002.0,1158.0,66.0,176.4
2022-02-23/14:24:25,20.7,1002.0,1158.0,66.0,175.8
2022-02-23/14:24:26,20.7,1002.0,1158.0,65.0,176.2
2022-02-23/14:24:27,20.7,1002.0,1158.0,65.0,177.7
2022-02-23/14:24:29,20.7,1002.0,1158.0,66.0,180.3
2022-02-23/14:24:30,20.7,1002.0,1158.0,66.0,183.5
2022-02-23/14:24:31,20.7,1002.0,1158.0,65.0,186.2
2022-02-23/14:24:32,20.7,1002.0,1158.0,65.0,187.9
2022-02-23/14:24:33,20.7,1002.0,1102.0,59.0,188.7
2022-02-23/14:24:34,20.7,1002.0,1102.0,59.0,189.2
2022-02-23/14:24:35,20.7,1002.0,1102.0,66.0,189.4
2022-02-23/14:24:36,20.7,1002.0,1102.0,66.0,189.9
2022-02-23/14:24:37,20.7,1002.0,1102.0,66.0,189.6
2022-02-23/14:24:38,20.7,1002.0,1102.0,66.0,189.2
2022-02-23/14:24:40,20.7,1002.0,1102.0,66.0,188.1
2022-02-23/14:24:41,20.7,1002.0,1102.0,66.0,185.1
2022-02-23/14:24:42,20.7,1002.0,1102.0,66.0,185.8
2022-02-23/14:24:43,20.7,1002.0,1102.0,66.0,186.0
2022-02-23/14:24:44,20.7,1002.0,1102.0,65.0,186.7
2022-02-23/14:24:45,20.7,1002.0,1102.0,65.0,186.7
2022-02-23/14:24:46,20.7,1002.0,1102.0,62.0,186.7
2022-02-23/14:24:47,20.7,1002.0,1102.0,62.0,186.8
2022-02-23/14:24:48,20.7,1002.0,1054.0,62.0,187.1
2022-02-23/14:24:49,20.7,1002.0,1054.0,62.0,187.5
2022-02-23/14:24:50,20.7,1002.0,1054.0,66.0,187.6
2022-02-23/14:24:52,20.7,1002.0,1054.0,66.0,188.3
2022-02-23/14:24:53,20.7,1002.0,1054.0,66.0,189.1
2022-02-23/14:24:54,20.7,1002.0,1054.0,66.0,189.4
2022-02-23/14:24:55,20.7,1002.0,1054.0,65.0,190.0
2022-02-23/14:24:56,20.7,1002.0,1054.0,65.0,190.0
2022-02-23/14:24:57,20.7,1002.0,1054.0,66.0,190.5
2022-02-23/14:24:58,20.7,1002.0,1054.0,66.0,190.8
2022-02-23/14:24:59,20.7,1002.0,1054.0,66.0,190.8
2022-02-23/14:25:00,20.7,1002.0,1054.0,66.0,190.8
2022-02-23/14:25:01,20.8,1002.0,1010.0,64.0,190.8
2022-02-23/14:25:03,20.8,1002.0,1010.0,64.0,193.6
2022-02-23/14:25:04,20.8,1002.0,1010.0,58.0,192.2
2022-02-23/14:25:05,20.8,1002.0,1010.0,58.0,190.8
2022-02-23/14:25:06,20.8,1002.0,1010.0,66.0,189.2
2022-02-23/14:25:07,20.8,1002.0,1010.0,66.0,187.8
2022-02-23/14:25:08,20.8,1002.0,1010.0,65.0,187.4
2022-02-23/14:25:09,20.8,1002.0,1010.0,65.0,187.5
2022-02-23/14:25:10,20.8,1002.0,1010.0,66.0,188.3
2022-02-23/14:25:11,20.8,1002.0,1010.0,66.0,188.3
2022-02-23/14:25:12,20.8,1002.0,1010.0,65.0,188.3
2022-02-23/14:25:13,20.8,1002.0,1010.0,65.0,188.0
2022-02-23/14:25:15,20.8,1002.0,1010.0,66.0,187.3
2022-02-23/14:25:16,20.8,1002.0,1010.0,66.0,186.2
2022-02-23/14:25:17,20.8,1002.0,973.0,56.0,185.1
2022-02-23/14:25:18,20.8,1002.0,973.0,56.0,184.2
2022-02-23/14:25:19,20.8,1002.0,973.0,65.0,184.5
2022-02-23/14:25:20,20.8,1002.0,973.0,65.0,185.5
2022-02-23/14:25:21,20.8,1002.0,973.0,65.0,185.5
2022-02-23/14:25:22,20.8,1002.0,973.0,65.0,184.9
2022-02-23/14:25:23,20.8,1002.0,973.0,66.0,184.2
2022-02-23/14:25:24,20.8,1002.0,973.0,66.0,182.8
2022-02-23/14:25:26,20.8,1002.0,973.0,65.0,181.8
2022-02-23/14:25:27,20.8,1002.0,973.0,65.0,180.5
2022-02-23/14:25:28,20.8,1002.0,973.0,66.0,180.0
2022-02-23/14:25:29,20.8,1002.0,973.0,66.0,180.4
2022-02-23/14:25:30,20.8,1002.0,973.0,65.0,181.0
2022-02-23/14:25:31,20.8,1002.0,973.0,65.0,182.1
2022-02-23/14:25:32,20.8,1001.0,940.0,57.0,182.4
2022-02-23/14:25:33,20.8,1001.0,940.0,57.0,183.0
2022-02-23/14:25:34,20.8,1001.0,940.0,66.0,182.7
2022-02-23/14:25:35,20.8,1001.0,940.0,66.0,182.5
2022-02-23/14:25:36,20.8,1001.0,940.0,66.0,182.3
2022-02-23/14:25:38,20.8,1001.0,940.0,66.0,181.8
2022-02-23/14:25:39,20.8,1001.0,940.0,66.0,181.7
2022-02-23/14:25:40,20.8,1001.0,940.0,66.0,181.7
2022-02-23/14:25:41,20.8,1001.0,940.0,67.0,181.7
2022-02-23/14:25:42,20.8,1001.0,940.0,67.0,181.7
2022-02-23/14:25:43,20.8,1001.0,940.0,66.0,181.7
2022-02-23/14:25:44,20.8,1001.0,940.0,66.0,181.7
2022-02-23/14:25:45,20.8,1001.0,940.0,66.0,181.7
2022-02-23/14:25:46,20.8,1001.0,940.0,66.0,181.7
2022-02-23/14:25:47,20.9,1002.0,911.0,55.0,181.6
2022-02-23/14:25:49,20.9,1002.0,911.0,55.0,181.7
2022-02-23/14:25:50,20.9,1002.0,911.0,66.0,181.0
2022-02-23/14:25:51,20.9,1002.0,911.0,66.0,181.0
2022-02-23/14:25:52,20.9,1002.0,911.0,66.0,180.9
2022-02-23/14:25:53,20.9,1002.0,911.0,66.0,181.2
2022-02-23/14:25:54,20.9,1002.0,911.0,66.0,181.7
2022-02-23/14:25:55,20.9,1002.0,911.0,66.0,181.7
2022-02-23/14:25:56,20.9,1002.0,911.0,66.0,182.5
2022-02-23/14:25:57,20.9,1002.0,911.0,66.0,182.5
2022-02-23/14:25:58,20.9,1002.0,911.0,66.0,182.7
2022-02-23/14:25:59,20.9,1002.0,911.0,66.0,183.2
2022-02-23/14:26:01,20.9,1002.0,911.0,66.0,183.3
2022-02-23/14:26:02,20.9,1002.0,911.0,66.0,183.4
2022-02-23/14:26:03,20.9,1002.0,887.0,58.0,184.2
2022-02-23/14:26:04,20.9,1002.0,887.0,58.0,184.2
2022-02-23/14:26:05,20.9,1002.0,887.0,66.0,184.6
2022-02-23/14:26:06,20.9,1002.0,887.0,66.0,185.0
2022-02-23/14:26:07,20.9,1002.0,887.0,66.0,185.1
2022-02-23/14:26:08,20.9,1002.0,887.0,66.0,185.8
2022-02-23/14:26:09,20.9,1002.0,887.0,65.0,186.4
2022-02-23/14:26:10,20.9,1002.0,887.0,65.0,186.7
2022-02-23/14:26:12,20.9,1002.0,887.0,66.0,187.1
2022-02-23/14:26:13,20.9,1002.0,887.0,66.0,187.5
2022-02-23/14:26:14,20.9,1002.0,887.0,66.0,187.6
2022-02-23/14:26:15,20.9,1002.0,887.0,66.0,188.3
2022-02-23/14:26:16,20.9,1002.0,887.0,65.0,188.3
2022-02-23/14:26:17,20.9,1002.0,887.0,65.0,188.6
2022-02-23/14:26:18,21.0,1002.0,871.0,59.0,189.2
2022-02-23/14:26:19,21.0,1002.0,871.0,59.0,189.2
2022-02-23/14:26:20,21.0,1002.0,871.0,65.0,189.2
2022-02-23/14:26:21,21.0,1002.0,871.0,65.0,189.7
2022-02-23/14:26:22,21.0,1002.0,871.0,66.0,189.5
2022-02-23/14:26:24,21.0,1002.0,871.0,66.0,188.5
2022-02-23/14:26:25,21.0,1002.0,871.0,65.0,187.3
2022-02-23/14:26:26,21.0,1002.0,871.0,65.0,186.0
2022-02-23/14:26:27,21.0,1002.0,871.0,66.0,185.0
2022-02-23/14:26:28,21.0,1002.0,871.0,66.0,184.4
2022-02-23/14:26:29,21.0,1002.0,871.0,66.0,183.1
2022-02-23/14:26:30,21.0,1002.0,871.0,66.0,181.4
2022-02-23/14:26:31,21.0,1002.0,871.0,62.0,179.4
2022-02-23/14:26:32,21.0,1002.0,871.0,62.0,178.0
2022-02-23/14:26:33,21.0,1002.0,861.0,59.0,176.6
2022-02-23/14:26:34,21.0,1002.0,861.0,59.0,175.8
2022-02-23/14:26:36,21.0,1002.0,861.0,67.0,175.0
2022-02-23/14:26:37,21.0,1002.0,861.0,67.0,174.9
2022-02-23/14:26:38,21.0,1002.0,861.0,65.0,174.2
2022-02-23/14:26:39,21.0,1002.0,861.0,65.0,174.2
2022-02-23/14:26:40,21.0,1002.0,861.0,66.0,174.0
2022-02-23/14:26:41,21.0,1002.0,861.0,66.0,173.4
2022-02-23/14:26:42,21.0,1002.0,861.0,66.0,173.3
2022-02-23/14:26:43,21.0,1002.0,861.0,66.0,173.3
2022-02-23/14:26:44,21.0,1002.0,861.0,66.0,174.0
2022-02-23/14:26:45,21.0,1002.0,861.0,66.0,173.3
2022-02-23/14:26:47,21.0,1001.0,857.0,62.0,173.3
2022-02-23/14:26:48,21.0,1001.0,857.0,62.0,173.6
